Project Name,2020 Price,2021 Price,2022 Price,2023 Price,2024 Price,2025 Price,2026 Price,Appreciation,Appreciation_Clean_%,Area,Community Type,DWC Travel Time,DXB Travel Time,Developer,Downtown Travel Time,File1 Appreciation,ID,Launch Year,Marina Travel Time,Master Community,PPSM,Price_Segment,Price_Vs_Community_Avg_%,Project_Stage,Projected_CAGR_24_26,Rental Yield %,Service Charge,Start Price,Unit Type
Creek Vistas Res,"1,150","1,290","1,520","1,750","1,980","2,200","2,370",+85%,85,Hartland,High-Rise Urban,30m,15m,Sobha Realty,10m,,225,2020,20m,Hartland,,Affordable,,Established,0.094061103,6.5,17.5,"900,000",Apartments
Creek Vistas Grande,,,"1,550","1,810","2,060","2,300","2,480",+45%,45,Hartland,High-Rise Urban,30m,15m,Sobha Realty,10m,,226,2022,20m,Hartland,,Affordable,,Recently Delivered,0.097216248,6.5,17.5,"1,400,000",Apartments
Hartland Greens,"1,050","1,140","1,320","1,480","1,650","1,810","1,930",+80% (Since 2020),80,Hartland,Low-Rise Urban,30m,15m,Sobha Realty,10m,,227,2016,20m,Hartland,,Affordable,,Established,0.081525298,6.5,14.5,"1,100,000",Apartments
One Park Avenue,"1,200","1,330","1,550","1,760","1,980","2,190","2,350",+78%,78,Hartland,High-Rise Urban,30m,15m,Sobha Realty,10m,,228,2020,20m,Hartland,,Affordable,,Established,0.089435031,6.5,17.5,"1,100,000",Apartments
Waves,,,"1,540","1,770","2,000","2,220","2,390",+65%,65,Hartland,Waterfront/Urban,30m,15m,Sobha Realty,10m,,229,2021,20m,Hartland,,Affordable,,Established,0.093160555,6.5,17.5,"1,100,000",Apartments
Forest Villas,"1,200","1,370","1,710","1,990","2,270","2,540","2,760",+95% (Since 2020),95,Hartland,Gated/Green,30m,15m,Sobha Realty,10m,,231,2017,20m,Hartland,,Luxury,,Established,0.10265998,6.5,4.8,"12,000,000",Villas
Waves Grande,,,"1,580","1,810","2,040","2,260","2,430",+62%,62,Hartland,Waterfront/Urban,30m,15m,Sobha Realty,10m,,230,2021,20m,Hartland,,Mid-Range,,Established,0.091410313,6.5,17.5,"1,500,000",Apartments
Sobha Reserve,,,,"1,350","1,570","1,770","1,920",+28%,28,Dubailand,Nature/Gated,25m,25m,Sobha Realty,25m,,233,2023,25m,Dubailand,,Luxury,,Recently Delivered,0.105861626,7,3.8,"7,500,000",Villas
Sobha Seahaven,,,,"2,500","3,060","3,630","4,010",+45%,45,Harbour,Waterfront/Luxury,30m,25m,Sobha Realty,20m,,234,2023,5m,Harbour,,Mid-Range,,Recently Delivered,0.144752164,6,26,"3,100,000",Apartments
Sobha Elwood,,,,,"1,450","1,600","1,700",+12%,12,Dubailand,Nature/Gated,25m,25m,Sobha Realty,25m,,232,2024,25m,Dubailand,,Luxury,,Under Construction / New,0.082780584,7,3.8,"7,900,000",Villas
Sky Edition,,,,"3,800","4,560","5,290","5,820",+35%,35,Harbour,Ultra-Luxury,30m,25m,Sobha Realty,20m,,235,2023,5m,Harbour,,Ultra-Luxury,,Recently Delivered,0.12974147,6,32,"21,000,000",Penthouses
Sobha Orbis,,,,,"1,350","1,550","1,680",+18%,18,Motor City,Urban/Modern,20m,25m,Sobha Realty,20m,,237,2024,15m,Motor City,950,Affordable,,Under Construction / New,0.115546702,7.5,14.5,"990,000",Apartments
Verde by Sobha,,,,"1,750","2,070","2,380","2,590",+32%,32,JLT,Urban/Golf View,,,Sobha Realty,,,236,2023,,JLT,,Mid-Range,,Recently Delivered,0.118573971,,19.5,"1,800,000",Apartments
Ghaf Woods,,,,,"1,500","1,690","1,820",+15%,15,Dubailand,Nature/Integrated,20m,25m,Majid Al Futtaim,20m,,238,2024,15m,Ghaf Woods,,Unknown,,Under Construction / New,0.101514109,,16.5,Community,Apartments
Plagette,,,,,"2,500","2,800","3,000",+14%,14,Tilal Al Ghaf,Waterfront/Resort,20m,25m,Majid Al Futtaim,20m,,239,2024,15m,Ghaf Woods,,Luxury,,Under Construction / New,0.095445115,,6,"8,500,000",Luxury Villas
Sierra,,,,,"1,650","1,820","1,930",+12%,12,Tilal Al Ghaf,Gated/Family,20m,25m,Majid Al Futtaim,20m,,240,2024,15m,Ghaf Woods,,Mid-Range,,Under Construction / New,0.081525298,,4.2,"4,200,000",Villas
Tilal Al Ghaf,900,"1,040","1,380","1,690","2,000","2,300","2,530",+110% (Since 2020),110,Dubailand,Lagoon/Gated,25m,25m,Majid Al Futtaim,25m,,241,2018,25m,Dubailand,,Unknown,,Established,0.124722188,7,4.2,Community,Mixed
Serenity Mansions,,,,"2,200","2,740","3,250","3,620",+45%,45,Tilal Al Ghaf,Waterfront/Luxury,20m,25m,Majid Al Futtaim,20m,,242,2023,15m,Tilal Al Ghaf,,Ultra-Luxury,,Recently Delivered,0.149420673,6,5.5,"25,000,000",Luxury Villas
Plagette 32,,,,"2,300","2,730","3,130","3,410",+38%,38,Tilal Al Ghaf,Waterfront/Resort,20m,25m,Majid Al Futtaim,20m,,244,2023,15m,Tilal Al Ghaf,,Luxury,,Recently Delivered,0.117624377,6,6,"7,500,000",Luxury Villas
Lanai Islands,,,"3,500","4,500","5,490","6,400","7,070",+55%,55,Tilal Al Ghaf,Ultra-Luxury,20m,25m,Majid Al Futtaim,20m,,243,2022,15m,Tilal Al Ghaf,,Ultra-Luxury,,Recently Delivered,0.134810994,6,7.5,"64,000,000",Mansions
Amara,,,,,"1,900","2,190","2,380",+18%,18,Tilal Al Ghaf,Gated/Resort,20m,25m,Majid Al Futtaim,20m,,245,2024,15m,Tilal Al Ghaf,,Luxury,,Under Construction / New,0.119210248,6,4.5,"6,500,000",Villas
Alaya,,,"1,340","1,580","1,820","2,050","2,230",+70%,70,Tilal Al Ghaf,Gated/Resort,20m,25m,Majid Al Futtaim,20m,,246,2021,15m,Tilal Al Ghaf,,Luxury,,Established,0.106921282,6,4.2,"6,800,000",Villas
Alaya Beach,,,"1,800","2,250","2,700","3,120","3,450",+60%,60,Tilal Al Ghaf,Waterfront/Ultra,20m,25m,Majid Al Futtaim,20m,,247,2022,15m,Tilal Al Ghaf,,Luxury,,Recently Delivered,0.130388331,6,5.5,"15,000,000",Mansions
Elysian Mansions,,,"1,900","2,360","2,820","3,240","3,560",+58%,58,Tilal Al Ghaf,Waterfront/Ultra,20m,25m,Majid Al Futtaim,20m,,248,2022,15m,Tilal Al Ghaf,,Luxury,,Recently Delivered,0.123570802,6,5.5,"18,000,000",Mansions
Harmony 1,950,"1,130","1,470","1,760","2,050","2,320","2,540",+95%,95,Tilal Al Ghaf,Gated/Family,20m,25m,Majid Al Futtaim,20m,,249,2020,15m,Tilal Al Ghaf,,Mid-Range,,Established,0.113114725,6,3.8,"3,100,000",Villas
Harmony 2,,,"1,410","1,670","1,930","2,170","2,370",+75%,75,Tilal Al Ghaf,Gated/Family,20m,25m,Majid Al Futtaim,20m,,250,2021,15m,Tilal Al Ghaf,,Mid-Range,,Established,0.108142263,6,3.8,"3,300,000",Villas
Harmony 3,,,"1,450","1,710","1,980","2,220","2,420",+72%,72,Tilal Al Ghaf,Gated/Family,20m,25m,Majid Al Futtaim,20m,,251,2021,15m,Tilal Al Ghaf,,Mid-Range,,Established,0.105541597,6,3.8,"3,600,000",Villas
Elan,850,"1,060","1,470","1,820","2,180","2,510","2,800",+120%,120,Tilal Al Ghaf,Gated/Family,20m,25m,Majid Al Futtaim,20m,,252,2020,15m,Tilal Al Ghaf,,Affordable,,Established,0.133315344,6,3.2,"1,300,000",Townhouses
Aura,,,"1,390","1,690","1,990","2,270","2,500",+85%,85,Tilal Al Ghaf,Gated/Family,20m,25m,Majid Al Futtaim,20m,,253,2021,15m,Tilal Al Ghaf,,Mid-Range,,Established,0.120839599,6,3.8,"2,400,000",Twin Villas
Claydon House,,,,,"1,800","2,030","2,180",+16%,16,MBR City,Urban/Luxury,30m,15m,Ellington Prop.,10m,,255,2024,20m,MBR City,,Mid-Range,,Under Construction / New,0.100504935,6,18,"1,700,000",Apartments
Wilton Terraces 1,"1,150","1,230","1,410","1,580","1,760","1,920","2,050",+65% (Since 2020),65,MBR City,Urban/Luxury,30m,15m,Ellington Prop.,10m,,256,2017,20m,MBR City,,Affordable,,Established,0.07924637,6,16.5,"1,300,000",Apartments
The Highgrove,,,,,"2,100,000","2,000","2,130",+14%,14,MBR City,Urban/Luxury,30m,15m,Ellington Prop.,10m,,254,2024,20m,MBR City,,Mid-Range,,Under Construction / New,,6,18,"2,100,000",Apartments
Wilton Terraces 2,"1,170","1,250","1,420","1,590","1,770","1,930","2,050",+62% (Since 2020),62,MBR City,Urban/Luxury,30m,15m,Ellington Prop.,10m,,257,2018,20m,MBR City,,Affordable,,Established,0.076193333,6,16.5,"1,400,000",Apartments
The Sanctuary,,,"1,500","1,780","2,060","2,320","2,520",+50%,50,MBR City,Waterfront/Gated,30m,15m,Ellington Prop.,10m,,259,2022,20m,MBR City,,Luxury,,Recently Delivered,0.106029372,6,5.2,"15,000,000",Villas
Wilton Park Res,"1,100","1,220","1,450","1,660","1,880","2,080","2,240",+75% (Since 2020),75,MBR City,Urban/Luxury,30m,15m,Ellington Prop.,10m,,258,2019,20m,MBR City,,Affordable,,Established,0.091553646,6,17.5,"1,100,000",Apartments
Ellington Sands,,,,,"2,100","2,440","2,660",+20%,20,RAK,Waterfront/Resort,80m,60m,Ellington Prop.,65m,,260,2024,75m,RAK,,Mid-Range,,Under Construction / New,0.125462868,,18,"2,500,000",Apartments
One River Point,,,,"2,200","2,610","3,000","3,280",+32%,32,Business Bay,Waterfront/Luxury,35m,15m,Ellington Prop.,5m,,261,2023,20m,Bus Bay,,Mid-Range,,Recently Delivered,0.121028537,,22,"2,800,000",Apartments
Mercer House,,,,"1,900","2,200","2,500","2,710",+30%,30,Uptown Dubai,Urban/Lifestyle,,,Ellington Prop.,,,264,2023,,JLT,,Mid-Range,,Recently Delivered,0.109873048,,19.5,"2,100,000",Apartments
DT1,"2,000","2,170","2,500","2,810","3,140","3,440","3,670",+45% (Since 2020),45,Downtown,Urban/Boutique,35m,15m,Ellington Prop.,0m,,263,2016,20m,Downtown,,Mid-Range,,Established,0.081105827,,24,"2,500,000",Apartments
The Crestmark,,,,"1,850","2,160","2,470","2,690",+35%,35,Business Bay,Waterfront/Luxury,35m,15m,Ellington Prop.,5m,,262,2023,20m,Bus Bay,,Mid-Range,,Recently Delivered,0.115961635,,20,"1,600,000",Apartments
Upper House,,,,"1,600","1,850","2,090","2,260",+32%,32,JLT,Urban/Modern,,,Ellington Prop.,,,265,2023,,JLT,,Mid-Range,,Recently Delivered,0.105269932,,18,"1,500,000",Apartments
Ocean House,,,"3,500","4,360","5,180","5,970","6,580",+55%,55,Palm Jumeirah,Island/Luxury,35m,25m,Ellington Prop.,20m,,266,2022,10m,Palm,,Luxury,,Recently Delivered,0.127062674,5.5,32,"9,500,000",Apartments
Beach House,,,"2,800","3,530","4,240","4,940","5,480",+60%,60,Palm Jumeirah,Island/Luxury,35m,25m,Ellington Prop.,20m,,267,2022,10m,Palm,,Luxury,,Recently Delivered,0.136860955,5.5,28,"6,100,000",Apartments
Belgravia 1,900,980,"1,140","1,290","1,450","1,600","1,720",+85% (Since 2020),85,JVC,Urban/Lifestyle,25m,25m,Ellington Prop.,20m,,269,2014,15m,JVC,,Affordable,,Established,0.089131258,7.5,13.5,"800,000",Apartments
The Sloane,,,"1,220","1,430","1,650","1,850","2,010",+70%,70,JVC,Urban/Boutique,25m,25m,Ellington Prop.,20m,,268,2021,15m,JVC,,Affordable,,Established,0.103712743,7.5,14.5,"750,000",Apartments
Belgravia 3,950,"1,020","1,170","1,310","1,460","1,600","1,710",+78% (Since 2020),78,JVC,Urban/Lifestyle,25m,25m,Ellington Prop.,20m,,271,2017,15m,JVC,,Affordable,,Established,0.08223513,7.5,13.5,"900,000",Apartments
Belgravia Square,980,"1,050","1,200","1,340","1,490","1,630","1,740",+75% (Since 2020),75,JVC,Urban/Lifestyle,25m,25m,Ellington Prop.,20m,,272,2018,15m,JVC,,Affordable,,Established,0.080641122,7.5,14,"950,000",Apartments
Belgravia 2,920,"1,000","1,150","1,290","1,440","1,580","1,690",+82% (Since 2020),82,JVC,Urban/Lifestyle,25m,25m,Ellington Prop.,20m,,270,2015,15m,JVC,,Affordable,,Established,0.083333333,7.5,13.5,"850,000",Apartments
Belgravia Heights,960,"1,030","1,180","1,320","1,470","1,610","1,720",+80% (Since 2020),80,JVC,Urban/Lifestyle,25m,25m,Ellington Prop.,20m,,273,2018,15m,JVC,,Affordable,,Established,0.081696828,7.5,14,"900,000",Apartments
Oakley Square,,,"1,150","1,360","1,570","1,770","1,920",+42%,42,JVC,Urban/Lifestyle,25m,25m,Ellington Prop.,20m,,274,2022,15m,JVC,,Affordable,,Recently Delivered,0.105861626,7.5,14.5,"900,000",Apartments
The Portman,,,"1,100","1,300","1,500","1,680","1,820",+45%,45,JVC,Urban/Lifestyle,25m,25m,Ellington Prop.,20m,,276,2022,15m,JVC,,Affordable,,Recently Delivered,0.101514109,7.5,14.5,"850,000",Apartments
Arbor View,,,,"1,350","1,550","1,740","1,880",+28%,28,Arjan,Nature/Lifestyle,20m,25m,Ellington Prop.,20m,,277,2023,15m,Arjan,,Affordable,,Recently Delivered,0.101318857,7.5,14,"1,400,000",Apartments
Hamilton House,,,"1,200","1,400","1,600","1,780","1,920",+38%,38,JVC,Urban/Lifestyle,25m,25m,Ellington Prop.,20m,,275,2022,15m,JVC,,Affordable,,Recently Delivered,0.095445115,7.5,14.5,"950,000",Apartments
Six Senses Marina,,,,,"4,500","5,060","5,410",+15%,15,Marina,High-Rise Ultra,25m,25m,Select Group,20m,,279,2024,0m,Marina,,Luxury,,Under Construction / New,0.096458947,6.5,32,"5,800,000",Apartments
Art Bay,,,,,"1,500","1,730","1,880",+18%,18,Al Jaddaf,Culture/Waterfront,35m,10m,Ellington Prop.,10m,,278,2024,25m,Al Jaddaf,,Affordable,,Under Construction / New,0.119523708,7,16.5,"1,200,000",Apartments
Marina Gate 2,"1,750","1,960","2,310","2,630","2,960","3,260","3,500",+72% (Since 2020),72,Marina,Waterfront/Urban,25m,25m,Select Group,20m,,281,2015,0m,Marina,,Mid-Range,,Established,0.087397091,6.5,14.15,"1,900,000",Apartments
Marina Gate 1,"1,700","1,910","2,260","2,580","2,910","3,220","3,460",+75% (Since 2020),75,Marina,Waterfront/Urban,25m,25m,Select Group,20m,,280,2014,0m,Marina,,Mid-Range,,Established,0.090414342,6.5,14.15,"1,800,000",Apartments
Jumeirah Living MG,"2,200","2,490","3,000","3,470","3,960","4,420","4,800",+78% (Since 2020),78,Marina,Waterfront/Luxury,25m,25m,Select Group,20m,,282,2016,0m,Marina,,Mid-Range,,Established,0.100963765,6.5,21,"2,500,000",Serviced Apt
The Torch,"1,100","1,170","1,300","1,410","1,530","1,640","1,730",+45% (Since 2020),45,Marina,High-Rise Urban,25m,25m,Select Group,20m,,284,2005,0m,Marina,,Unknown,,Established,0.063352695,6.5,12,Community,Apartments
No.9,"1,500","1,640","1,890","2,120","2,360","2,580","2,760",+65% (Since 2020),65,Marina,Waterfront/Urban,25m,25m,Select Group,20m,,285,2013,0m,Marina,,Mid-Range,,Established,0.081430315,6.5,12.98,"1,500,000",Apartments
Studio One,"1,450","1,600","1,860","2,100","2,350","2,580","2,760",+70% (Since 2020),70,Marina,Urban/Lifestyle,25m,25m,Select Group,20m,,283,2016,0m,Marina,,Affordable,,Established,0.083728788,6.5,13.5,"1,100,000",Apartments
Six Senses Palm,,,"5,500","7,070","8,650","10,250","11,500",+85%,85,Palm Jumeirah,Island/Luxury,35m,25m,Select Group,20m,,287,2022,10m,Palm,,Luxury,,Recently Delivered,0.153030689,5.5,55,"9,500,000",Branded Apt
Botanica,"1,300","1,400","1,570","1,720","1,880","2,030","2,140",+50% (Since 2020),50,Marina,High-Rise Urban,25m,25m,Select Group,20m,,286,2007,0m,Marina,,Unknown,,Established,0.066910433,6.5,13,Community,Apartments
Peninsula Three,,,"1,550","1,830","2,100","2,360","2,560",+48%,48,Business Bay,Waterfront/Urban,35m,15m,Select Group,5m,,290,2022,20m,Bus Bay,,Affordable,,Recently Delivered,0.104104895,,18,"1,400,000",Apartments
Peninsula One,,,"1,650","1,960","2,260","2,540","2,770",+65%,65,Business Bay,Waterfront/Urban,35m,15m,Select Group,5m,,288,2021,20m,Bus Bay,,Affordable,,Established,0.107096977,,18,"1,100,000",Apartments
Peninsula Two,,,"1,680","1,980","2,270","2,540","2,760",+62%,62,Business Bay,Waterfront/Urban,35m,15m,Select Group,5m,,289,2021,20m,Bus Bay,,Affordable,,Established,0.10265998,,18,"1,200,000",Apartments
Peninsula Four,,,"1,650","1,940","2,220","2,480","2,680",+42%,42,Business Bay,Waterfront/Urban,35m,15m,Select Group,5m,,291,2022,20m,Bus Bay,,Mid-Range,,Recently Delivered,0.098729815,,18,"2,100,000",Apartments
Jumeirah Living BB,,,"2,200","2,650","3,100","3,540","3,880",+55%,55,Business Bay,Waterfront/Luxury,35m,15m,Select Group,5m,,293,2022,20m,Bus Bay,,Mid-Range,,Recently Delivered,0.118755068,,28,"3,100,000",Branded Apt
Peninsula Five,,,"1,700","2,010","2,310","2,600","2,820",+45%,45,Business Bay,Waterfront/Urban,35m,15m,Select Group,5m,,292,2022,20m,Bus Bay,,Mid-Range,,Recently Delivered,0.104888782,,18,"1,900,000",Apartments
Nautica One,,,,"1,800","2,090","2,370","2,570",+32%,32,Maritime City,Waterfront/Urban,40m,15m,Select Group,15m,,294,2023,25m,Maritime,,Mid-Range,,Recently Delivered,0.108902643,6,17.5,"1,500,000",Apartments
Nautica Two,,,,"1,850","2,130","2,400","2,600",+30%,30,Maritime City,Waterfront/Urban,40m,15m,Select Group,15m,,295,2023,25m,Maritime,,Mid-Range,,Recently Delivered,0.104833597,6,17.5,"1,600,000",Apartments
Vela,,,,"6,500","7,830","9,120","10,080",+45%,45,Business Bay,Waterfront/Ultra,35m,15m,Omniyat,5m,,296,2023,20m,Bus Bay,,Ultra-Luxury,,Recently Delivered,0.134617258,,50,"30,000,000",Apartments
Vela Viento,,,,"6,800","8,060","9,290","10,170",+40%,40,Business Bay,Waterfront/Ultra,35m,15m,Omniyat,5m,,297,2023,20m,Bus Bay,,Ultra-Luxury,,Recently Delivered,0.123292749,,50,"21,000,000",Apartments
The Lana,"2,500","2,760","3,270","3,750","4,260","4,740","5,120",+75% (Since 2020),75,Business Bay,Waterfront/Ultra,35m,15m,Omniyat,5m,,298,2018,20m,Bus Bay,,Ultra-Luxury,,Established,0.096301936,,42,"21,000,000",Branded Apt
The Opus,"2,300","2,510","2,900","3,260","3,650","4,010","4,290",+55% (Since 2020),55,Business Bay,Iconic/Mixed,35m,15m,Omniyat,5m,,299,2008,20m,Bus Bay,,Mid-Range,,Established,0.084132126,,38,"3,500,000",Apartments
Orla,,,"4,500","5,510","6,550","7,570","8,340",+65%,65,Palm Jumeirah,Island/Ultra,35m,25m,Omniyat,20m,,300,2022,10m,Palm,,Ultra-Luxury,,Recently Delivered,0.128398176,5.5,48,"22,000,000",Apartments
Orla Infinity,,,,"5,800","6,870","7,930","8,680",+40%,40,Palm Jumeirah,Island/Ultra,35m,25m,Omniyat,20m,,301,2023,10m,Palm,,Ultra-Luxury,,Recently Delivered,0.124039295,5.5,52,"25,000,000",Apartments
One at Palm,"3,000","3,500","4,640","5,630","6,670","7,660","8,460",+110% (Since 2020),110,Palm Jumeirah,Island/Ultra,35m,25m,Omniyat,20m,,302,2014,10m,Palm,,Luxury,,Established,0.126217482,5.5,55,"15,000,000",Apartments
Anwa,"1,300","1,420","1,660","1,880","2,120","2,340","2,520",+70% (Since 2020),70,Maritime City,Waterfront/Urban,40m,15m,Al Hamra Prop.,15m,,304,2014,25m,Maritime,,Mid-Range,,Established,0.090265676,6,18,"1,500,000",Apartments
Anwa Aria,,,,"1,900","2,210","2,520","2,730",+35%,35,Maritime City,Waterfront/Urban,40m,15m,Omniyat,15m,,305,2023,25m,Maritime,,Mid-Range,,Recently Delivered,0.11143786,6,19.5,"1,900,000",Apartments
Ava at Palm,,,"7,000","8,440","9,830","11,190","12,250",+50%,50,Palm Jumeirah,Island/Ultra,35m,25m,Omniyat,20m,,303,2022,10m,Palm,,Ultra-Luxury,,Recently Delivered,0.116326631,5.5,60,"45,000,000",Apartments
W Residences,,,,,"3,200","3,650","3,940",+18%,18,Harbour,Waterfront/Resort,30m,25m,Arada,20m,,307,2024,5m,Harbour,,Mid-Range,,Under Construction / New,0.109617051,6,35,"4,100,000",Branded Apt
Armani Beach Res,,,,,"7,500","8,440","9,070",+15%,15,Palm Jumeirah,Island/Ultra,35m,25m,Arada,20m,,306,2024,10m,Palm,,Ultra-Luxury,,Under Construction / New,0.099696928,5.5,65,"21,000,000",Branded Apt
Jouri Hills,,,"1,450","1,720","1,990","2,240","2,440",+45%,45,JGE,Gated/Golf,20m,30m,Arada,25m,,308,2022,20m,JGE,,Mid-Range,,Recently Delivered,0.10730784,6.5,5.5,"3,900,000",Villas
South Garden,,,,,"1,400","1,570","1,670",+14%,14,Wasl Gate,Integrated Urban,15m,30m,Wasl Asset,25m,,309,2024,10m,Wasl Gate,,Affordable,,Under Construction / New,0.092179996,,14.5,"950,000",Apartments
Gardenia Townhomes,900,"1,000","1,210","1,410","1,610","1,800","1,950",+85% (Since 2020),85,Wasl Gate,Integrated Urban,15m,30m,Wasl Asset,25m,,311,2018,10m,Wasl Gate,,Mid-Range,,Established,0.100536289,,3.2,"1,800,000",Townhouses
Hillside Res,,,,"1,350","1,550","1,740","1,880",+28%,28,Wasl Gate,Integrated Urban,15m,30m,Wasl Asset,25m,,310,2023,10m,Wasl Gate,,Affordable,,Recently Delivered,0.101318857,,14.5,"900,000",Apartments
The Nook,850,940,"1,120","1,290","1,460","1,620","1,750",+75% (Since 2020),75,Wasl Gate,Integrated Urban,15m,30m,Wasl Asset,25m,,312,2018,10m,Wasl Gate,,Affordable,,Established,0.094819682,,13.5,"650,000",Apartments
1 Residences,,,"1,710","1,980","2,240","2,490","2,690",+55%,55,Wasl1,Urban/Park,35m,10m,Wasl Asset,5m,,314,2021,20m,Wasl1,,Affordable,,Established,0.095852571,,19.5,"1,400,000",Apartments
Park Gate Res,"1,300","1,430","1,690","1,940","2,190","2,420","2,600",+70% (Since 2020),70,Wasl1,Urban/Park,35m,10m,Wasl Asset,5m,,313,2017,20m,Wasl1,,Mid-Range,,Established,0.089593783,,18,"1,500,000",Apartments
Riviera Heights,,,,,"1,450","1,630","1,740",+14%,14,Meydan,Waterfront/Urban,30m,15m,Meydan,10m,,317,2024,20m,Meydan,,Affordable,,Under Construction / New,0.095445115,6.5,15,"1,200,000",Apartments
One B Tower,,,,,"2,200","2,430","2,580",+12%,12,Business Bay,High-Rise Urban,35m,15m,Wasl Asset,5m,,315,2024,20m,Bus Bay,,Mid-Range,,Under Construction / New,0.082925331,,22,"2,100,000",Apartments
Wasl Tower,"2,500","2,660","2,970","3,250","3,540","3,820","4,030",+40% (Since 2020),40,SZR,High-Rise Iconic,35m,15m,Wasl Asset,5m,,316,2016,20m,SZR,,Mid-Range,,Established,0.066966766,,30,"3,500,000",Mixed
Viewz,,,,"1,650","1,960","2,250","2,450",+42%,42,JLT,High-Rise Luxury,,,Danube Properties,,,320,2023,,JLT,,Affordable,,Recently Delivered,0.118033989,,18.5,"1,000,000",Apartments
Diamondz,,,,,"1,750","2,000","2,150",+16%,16,Uptown Dubai,High-Rise Modern,25m,25m,Danube Properties,20m,,319,2024,10m,Uptown,,Affordable,,Under Construction / New,0.108409414,6.5,16.5,"1,100,000",Apartments
Wasl 51,"1,800","1,950","2,250","2,530","2,830","3,100","3,310",+55% (Since 2020),55,Jumeirah,Boutique/Urban,35m,20m,Wasl Asset,10m,,318,2016,20m,Jumeirah,,Unknown,,Established,0.081485695,5,5.5,Community,Townhouses
Bayz 101,,,,,"1,900","2,190","2,370",+18%,18,Business Bay,High-Rise Modern,35m,15m,Danube Properties,5m,,321,2024,20m,Bus Bay,,Affordable,,Under Construction / New,0.116856491,,19,"1,200,000",Apartments
Oceanz,,,,"1,550","1,810","2,070","2,250",+38%,38,Maritime City,Waterfront/Resort,40m,15m,Danube Properties,15m,,323,2023,25m,Maritime,,Affordable,,Recently Delivered,0.114941219,6,17.5,"1,100,000",Apartments
Bayz 102,,,,,"1,350,000","2,050","2,160",+12%,12,Business Bay,High-Rise Modern,35m,15m,Danube Properties,5m,,322,2024,20m,Bus Bay,,Affordable,,Under Construction / New,,,19.5,"1,350,000",Apartments
Sportz,,,,"1,150","1,330","1,490","1,620",+35%,35,Sports City,Sports/Modern,20m,25m,Danube Properties,20m,,324,2023,15m,Sports City,900,Affordable,,Recently Delivered,0.103650811,8,13.5,"600,000",Apartments
Eleganz,,,,"1,250","1,410","1,560","1,670",+25%,25,JVC,Urban/Family,25m,25m,Danube Properties,20m,,325,2023,15m,JVC,,Affordable,,Recently Delivered,0.088300125,7.5,4.5,"1,400,000",Townhouses
Elitz 3,,,,"1,250","1,440","1,620","1,750",+32%,32,JVC,High-Rise Urban,25m,25m,Danube Properties,20m,,328,2023,15m,JVC,,Affordable,,Recently Delivered,0.10239638,7.5,14.5,"750,000",Apartments
Elitz 2,,,,"1,200","1,390","1,570","1,700",+35%,35,JVC,High-Rise Urban,25m,25m,Danube Properties,20m,,327,2023,15m,JVC,,Affordable,,Recently Delivered,0.105903062,7.5,14.5,"700,000",Apartments
Elitz 1,,,"1,100","1,300","1,500","1,690","1,840",+48%,48,JVC,High-Rise Urban,25m,25m,Danube Properties,20m,,326,2022,15m,JVC,,Affordable,,Recently Delivered,0.107549848,7.5,14.5,"650,000",Apartments
Pearlz,,,"1,190","1,380","1,570","1,750","1,890",+55%,55,Al Furjan,Suburban Urban,15m,30m,Danube Properties,25m,,331,2022,10m,Furjan,,Affordable,,Recently Delivered,0.097188068,7,14,"550,000",Apartments
Gemz,,,"1,100","1,300","1,500","1,690","1,830",+52%,52,Al Furjan,Suburban Urban,15m,30m,Danube Properties,25m,,330,2022,10m,Furjan,,Affordable,,Recently Delivered,0.104536102,7,14,"600,000",Apartments
Fashionz,,,,"1,300","1,480","1,650","1,770",+30%,30,JVC,Branded Urban,25m,25m,Danube Properties,20m,,329,2023,15m,JVC,,Affordable,,Recently Delivered,0.093593135,7.5,14.5,"850,000",Apartments
Opalz,,,"1,150","1,340","1,530","1,710","1,840",+48%,48,Science Park,Urban/Business,25m,25m,Danube Properties,20m,,332,2022,15m,Science Park,,Affordable,,Recently Delivered,0.096637761,7.5,14.5,"600,000",Apartments
Petalz,,,"1,050","1,220","1,380","1,540","1,650",+45%,45,Int. City,Community Urban,35m,15m,Danube Properties,20m,,333,2022,30m,Int. City,,Affordable,,Recently Delivered,0.093458812,,13.5,"500,000",Apartments
Skyz,,,"1,130","1,310","1,490","1,670","1,800",+65%,65,Arjan,Urban/Modern,20m,25m,Danube Properties,20m,,334,2021,15m,Arjan,,Affordable,,Established,0.099114958,7.5,14,"550,000",Apartments
Olivz,850,950,"1,130","1,300","1,460","1,610","1,730",+75%,75,Int. City,Community Urban,35m,15m,Danube Properties,20m,,335,2020,30m,Int. City,,Unknown,,Established,0.088545592,,13,"400,000",Apartments
Elz,900,"1,010","1,220","1,420","1,620","1,810","1,960",+85% (Since 2020),85,Arjan,Urban/Modern,20m,25m,Danube Properties,20m,,336,2019,15m,Arjan,,Unknown,,Established,0.099943882,7.5,13.5,"450,000",Apartments
Lawz,750,840,"1,010","1,170","1,330","1,480","1,600",+80% (Since 2020),80,Int. City,Community Urban,35m,15m,Danube Properties,20m,,337,2018,30m,Int. City,,Unknown,,Established,0.096816994,,12.5,"350,000",Apartments
