ID,Project Name,Master Community,Launch Year,Start Price,Appreciation,Developer,Area,Unit Type,Community Type,2020 Price,2021 Price,2022 Price,2023 Price,2024 Price,2025 Price,2026 Price,Service Charge,PPSM,Rental Yield %,File1 Appreciation,DXB Travel Time,DWC Travel Time,Downtown Travel Time,Marina Travel Time,Appreciation_Clean_%,Price_Segment,Projected_CAGR_24_26,Price_Vs_Community_Avg_%,Project_Stage
250,Harmony 2,Tilal Al Ghaf,2021,"3,300,000",+75%,Majid Al Futtaim,Tilal Al Ghaf,Villas,Gated/Family,,,"1,410","1,670","1,930","2,170","2,370",3.8,"1,500",6.0,,25m,20m,20m,15m,,,,,
251,Harmony 3,Tilal Al Ghaf,2021,"3,600,000",+72%,Majid Al Futtaim,Tilal Al Ghaf,Villas,Gated/Family,,,"1,450","1,710","1,980","2,220","2,420",3.8,"1,500",6.0,,25m,20m,20m,15m,,,,,
252,Elan,Tilal Al Ghaf,2020,"1,300,000",+120%,Majid Al Futtaim,Tilal Al Ghaf,Townhouses,Gated/Family,850,"1,060","1,470","1,820","2,180","2,510","2,800",3.2,"1,500",6.0,,25m,20m,20m,15m,,,,,
253,Aura,Tilal Al Ghaf,2021,"2,400,000",+85%,Majid Al Futtaim,Tilal Al Ghaf,Twin Villas,Gated/Family,,,"1,390","1,690","1,990","2,270","2,500",3.8,"1,500",6.0,,25m,20m,20m,15m,,,,,
254,The Highgrove,MBR City,2024,"2,100,000",+14%,Ellington Prop.,MBR City,Apartments,Urban/Luxury,,,,,"2,100,000","2,000","2,130",18,"1,600",6.0,,15m,30m,10m,20m,,,,,
255,Claydon House,MBR City,2024,"1,700,000",+16%,Ellington Prop.,MBR City,Apartments,Urban/Luxury,,,,,"1,800","2,030","2,180",18,"1,600",6.0,,15m,30m,10m,20m,,,,,
256,Wilton Terraces 1,MBR City,2017,"1,300,000",+65% (Since 2020),Ellington Prop.,MBR City,Apartments,Urban/Luxury,"1,150","1,230","1,410","1,580","1,760","1,920","2,050",16.5,"1,600",6.0,,15m,30m,10m,20m,,,,,
257,Wilton Terraces 2,MBR City,2018,"1,400,000",+62% (Since 2020),Ellington Prop.,MBR City,Apartments,Urban/Luxury,"1,170","1,250","1,420","1,590","1,770","1,930","2,050",16.5,"1,600",6.0,,15m,30m,10m,20m,,,,,
258,Wilton Park Res,MBR City,2019,"1,100,000",+75% (Since 2020),Ellington Prop.,MBR City,Apartments,Urban/Luxury,"1,100","1,220","1,450","1,660","1,880","2,080","2,240",17.5,"1,600",6.0,,15m,30m,10m,20m,,,,,
259,The Sanctuary,MBR City,2022,"15,000,000",+50%,Ellington Prop.,MBR City,Villas,Waterfront/Gated,,,"1,500","1,780","2,060","2,320","2,520",5.2,"1,600",6.0,,15m,30m,10m,20m,,,,,
260,Ellington Sands,RAK,2024,"2,500,000",+20%,Ellington Prop.,RAK,Apartments,Waterfront/Resort,,,,,"2,100","2,440","2,660",18,,,,60m,80m,65m,75m,,,,,
261,One River Point,Bus Bay,2023,"2,800,000",+32%,Ellington Prop.,Business Bay,Apartments,Waterfront/Luxury,,,,"2,200","2,610","3,000","3,280",22,,,,15m,35m,5m,20m,,,,,
262,The Crestmark,Bus Bay,2023,"1,600,000",+35%,Ellington Prop.,Business Bay,Apartments,Waterfront/Luxury,,,,"1,850","2,160","2,470","2,690",20,,,,15m,35m,5m,20m,,,,,
263,DT1,Downtown,2016,"2,500,000",+45% (Since 2020),Ellington Prop.,Downtown,Apartments,Urban/Boutique,"2,000","2,170","2,500","2,810","3,140","3,440","3,670",24,,,,15m,35m,0m,20m,,,,,
264,Mercer House,JLT,2023,"2,100,000",+30%,Ellington Prop.,Uptown Dubai,Apartments,Urban/Lifestyle,,,,"1,900","2,200","2,500","2,710",19.5,,,,,,,,,,,,
265,Upper House,JLT,2023,"1,500,000",+32%,Ellington Prop.,JLT,Apartments,Urban/Modern,,,,"1,600","1,850","2,090","2,260",18,,,,,,,,,,,,
266,Ocean House,Palm,2022,"9,500,000",+55%,Ellington Prop.,Palm Jumeirah,Apartments,Island/Luxury,,,"3,500","4,360","5,180","5,970","6,580",32,"2,500",5.5,,25m,35m,20m,10m,,,,,
267,Beach House,Palm,2022,"6,100,000",+60%,Ellington Prop.,Palm Jumeirah,Apartments,Island/Luxury,,,"2,800","3,530","4,240","4,940","5,480",28,"2,500",5.5,,25m,35m,20m,10m,,,,,
268,The Sloane,JVC,2021,"750,000",+70%,Ellington Prop.,JVC,Apartments,Urban/Boutique,,,"1,220","1,430","1,650","1,850","2,010",14.5,"1,100",7.5,,25m,25m,20m,15m,,,,,
269,Belgravia 1,JVC,2014,"800,000",+85% (Since 2020),Ellington Prop.,JVC,Apartments,Urban/Lifestyle,900,980,"1,140","1,290","1,450","1,600","1,720",13.5,"1,100",7.5,,25m,25m,20m,15m,,,,,
270,Belgravia 2,JVC,2015,"850,000",+82% (Since 2020),Ellington Prop.,JVC,Apartments,Urban/Lifestyle,920,"1,000","1,150","1,290","1,440","1,580","1,690",13.5,"1,100",7.5,,25m,25m,20m,15m,,,,,
271,Belgravia 3,JVC,2017,"900,000",+78% (Since 2020),Ellington Prop.,JVC,Apartments,Urban/Lifestyle,950,"1,020","1,170","1,310","1,460","1,600","1,710",13.5,"1,100",7.5,,25m,25m,20m,15m,,,,,
272,Belgravia Square,JVC,2018,"950,000",+75% (Since 2020),Ellington Prop.,JVC,Apartments,Urban/Lifestyle,980,"1,050","1,200","1,340","1,490","1,630","1,740",14,"1,100",7.5,,25m,25m,20m,15m,,,,,
273,Belgravia Heights,JVC,2018,"900,000",+80% (Since 2020),Ellington Prop.,JVC,Apartments,Urban/Lifestyle,960,"1,030","1,180","1,320","1,470","1,610","1,720",14,"1,100",7.5,,25m,25m,20m,15m,,,,,
274,Oakley Square,JVC,2022,"900,000",+42%,Ellington Prop.,JVC,Apartments,Urban/Lifestyle,,,"1,150","1,360","1,570","1,770","1,920",14.5,"1,100",7.5,,25m,25m,20m,15m,,,,,
275,Hamilton House,JVC,2022,"950,000",+38%,Ellington Prop.,JVC,Apartments,Urban/Lifestyle,,,"1,200","1,400","1,600","1,780","1,920",14.5,"1,100",7.5,,25m,25m,20m,15m,,,,,
276,The Portman,JVC,2022,"850,000",+45%,Ellington Prop.,JVC,Apartments,Urban/Lifestyle,,,"1,100","1,300","1,500","1,680","1,820",14.5,"1,100",7.5,,25m,25m,20m,15m,,,,,
277,Arbor View,Arjan,2023,"1,400,000",+28%,Ellington Prop.,Arjan,Apartments,Nature/Lifestyle,,,,"1,350","1,550","1,740","1,880",14,"1,100",7.5,,25m,20m,20m,15m,,,,,
278,Art Bay,Al Jaddaf,2024,"1,200,000",+18%,Ellington Prop.,Al Jaddaf,Apartments,Culture/Waterfront,,,,,"1,500","1,730","1,880",16.5,"1,200",7.0,,10m,35m,10m,25m,,,,,
279,Six Senses Marina,Marina,2024,"5,800,000",+15%,Select Group,Marina,Apartments,High-Rise Ultra,,,,,"4,500","5,060","5,410",32,"1,900",6.5,,25m,25m,20m,0m,,,,,
280,Marina Gate 1,Marina,2014,"1,800,000",+75% (Since 2020),Select Group,Marina,Apartments,Waterfront/Urban,"1,700","1,910","2,260","2,580","2,910","3,220","3,460",14.15,"1,900",6.5,,25m,25m,20m,0m,,,,,
281,Marina Gate 2,Marina,2015,"1,900,000",+72% (Since 2020),Select Group,Marina,Apartments,Waterfront/Urban,"1,750","1,960","2,310","2,630","2,960","3,260","3,500",14.15,"1,900",6.5,,25m,25m,20m,0m,,,,,
282,Jumeirah Living MG,Marina,2016,"2,500,000",+78% (Since 2020),Select Group,Marina,Serviced Apt,Waterfront/Luxury,"2,200","2,490","3,000","3,470","3,960","4,420","4,800",21,"1,900",6.5,,25m,25m,20m,0m,,,,,
283,Studio One,Marina,2016,"1,100,000",+70% (Since 2020),Select Group,Marina,Apartments,Urban/Lifestyle,"1,450","1,600","1,860","2,100","2,350","2,580","2,760",13.5,"1,900",6.5,,25m,25m,20m,0m,,,,,
284,The Torch,Marina,2005,Community,+45% (Since 2020),Select Group,Marina,Apartments,High-Rise Urban,"1,100","1,170","1,300","1,410","1,530","1,640","1,730",12,"1,900",6.5,,25m,25m,20m,0m,,,,,
285,No.9,Marina,2013,"1,500,000",+65% (Since 2020),Select Group,Marina,Apartments,Waterfront/Urban,"1,500","1,640","1,890","2,120","2,360","2,580","2,760",12.98,"1,900",6.5,,25m,25m,20m,0m,,,,,
286,Botanica,Marina,2007,Community,+50% (Since 2020),Select Group,Marina,Apartments,High-Rise Urban,"1,300","1,400","1,570","1,720","1,880","2,030","2,140",13,"1,900",6.5,,25m,25m,20m,0m,,,,,
287,Six Senses Palm,Palm,2022,"9,500,000",+85%,Select Group,Palm Jumeirah,Branded Apt,Island/Luxury,,,"5,500","7,070","8,650","10,250","11,500",55,"2,500",5.5,,25m,35m,20m,10m,,,,,
288,Peninsula One,Bus Bay,2021,"1,100,000",+65%,Select Group,Business Bay,Apartments,Waterfront/Urban,,,"1,650","1,960","2,260","2,540","2,770",18,,,,15m,35m,5m,20m,,,,,
289,Peninsula Two,Bus Bay,2021,"1,200,000",+62%,Select Group,Business Bay,Apartments,Waterfront/Urban,,,"1,680","1,980","2,270","2,540","2,760",18,,,,15m,35m,5m,20m,,,,,
290,Peninsula Three,Bus Bay,2022,"1,400,000",+48%,Select Group,Business Bay,Apartments,Waterfront/Urban,,,"1,550","1,830","2,100","2,360","2,560",18,,,,15m,35m,5m,20m,,,,,
291,Peninsula Four,Bus Bay,2022,"2,100,000",+42%,Select Group,Business Bay,Apartments,Waterfront/Urban,,,"1,650","1,940","2,220","2,480","2,680",18,,,,15m,35m,5m,20m,,,,,
292,Peninsula Five,Bus Bay,2022,"1,900,000",+45%,Select Group,Business Bay,Apartments,Waterfront/Urban,,,"1,700","2,010","2,310","2,600","2,820",18,,,,15m,35m,5m,20m,,,,,
293,Jumeirah Living BB,Bus Bay,2022,"3,100,000",+55%,Select Group,Business Bay,Branded Apt,Waterfront/Luxury,,,"2,200","2,650","3,100","3,540","3,880",28,,,,15m,35m,5m,20m,,,,,
294,Nautica One,Maritime,2023,"1,500,000",+32%,Select Group,Maritime City,Apartments,Waterfront/Urban,,,,"1,800","2,090","2,370","2,570",17.5,"1,700",6.0,,15m,40m,15m,25m,,,,,
295,Nautica Two,Maritime,2023,"1,600,000",+30%,Select Group,Maritime City,Apartments,Waterfront/Urban,,,,"1,850","2,130","2,400","2,600",17.5,"1,700",6.0,,15m,40m,15m,25m,,,,,
296,Vela,Bus Bay,2023,"30,000,000",+45%,Omniyat,Business Bay,Apartments,Waterfront/Ultra,,,,"6,500","7,830","9,120","10,080",50,,,,15m,35m,5m,20m,,,,,
297,Vela Viento,Bus Bay,2023,"21,000,000",+40%,Omniyat,Business Bay,Apartments,Waterfront/Ultra,,,,"6,800","8,060","9,290","10,170",50,,,,15m,35m,5m,20m,,,,,
298,The Lana,Bus Bay,2018,"21,000,000",+75% (Since 2020),Omniyat,Business Bay,Branded Apt,Waterfront/Ultra,"2,500","2,760","3,270","3,750","4,260","4,740","5,120",42,,,,15m,35m,5m,20m,,,,,
299,The Opus,Bus Bay,2008,"3,500,000",+55% (Since 2020),Omniyat,Business Bay,Apartments,Iconic/Mixed,"2,300","2,510","2,900","3,260","3,650","4,010","4,290",38,,,,15m,35m,5m,20m,,,,,
300,Orla,Palm,2022,"22,000,000",+65%,Omniyat,Palm Jumeirah,Apartments,Island/Ultra,,,"4,500","5,510","6,550","7,570","8,340",48,"2,500",5.5,,25m,35m,20m,10m,,,,,
301,Orla Infinity,Palm,2023,"25,000,000",+40%,Omniyat,Palm Jumeirah,Apartments,Island/Ultra,,,,"5,800","6,870","7,930","8,680",52,"2,500",5.5,,25m,35m,20m,10m,,,,,
302,One at Palm,Palm,2014,"15,000,000",+110% (Since 2020),Omniyat,Palm Jumeirah,Apartments,Island/Ultra,"3,000","3,500","4,640","5,630","6,670","7,660","8,460",55,"2,500",5.5,,25m,35m,20m,10m,,,,,
303,Ava at Palm,Palm,2022,"45,000,000",+50%,Omniyat,Palm Jumeirah,Apartments,Island/Ultra,,,"7,000","8,440","9,830","11,190","12,250",60,"2,500",5.5,,25m,35m,20m,10m,,,,,
304,Anwa,Maritime,2014,"1,500,000",+70% (Since 2020),Al Hamra Prop.,Maritime City,Apartments,Waterfront/Urban,"1,300","1,420","1,660","1,880","2,120","2,340","2,520",18,"1,700",6.0,,15m,40m,15m,25m,,,,,
305,Anwa Aria,Maritime,2023,"1,900,000",+35%,Omniyat,Maritime City,Apartments,Waterfront/Urban,,,,"1,900","2,210","2,520","2,730",19.5,"1,700",6.0,,15m,40m,15m,25m,,,,,
306,Armani Beach Res,Palm,2024,"21,000,000",+15%,Arada,Palm Jumeirah,Branded Apt,Island/Ultra,,,,,"7,500","8,440","9,070",65,"2,500",5.5,,25m,35m,20m,10m,,,,,
307,W Residences,Harbour,2024,"4,100,000",+18%,Arada,Harbour,Branded Apt,Waterfront/Resort,,,,,"3,200","3,650","3,940",35,"1,900",6.0,,25m,30m,20m,5m,,,,,
308,Jouri Hills,JGE,2022,"3,900,000",+45%,Arada,JGE,Villas,Gated/Golf,,,"1,450","1,720","1,990","2,240","2,440",5.5,"1,300",6.5,,30m,20m,25m,20m,,,,,
309,South Garden,Wasl Gate,2024,"950,000",+14%,Wasl Asset,Wasl Gate,Apartments,Integrated Urban,,,,,"1,400","1,570","1,670",14.5,,,,30m,15m,25m,10m,,,,,
310,Hillside Res,Wasl Gate,2023,"900,000",+28%,Wasl Asset,Wasl Gate,Apartments,Integrated Urban,,,,"1,350","1,550","1,740","1,880",14.5,,,,30m,15m,25m,10m,,,,,
311,Gardenia Townhomes,Wasl Gate,2018,"1,800,000",+85% (Since 2020),Wasl Asset,Wasl Gate,Townhouses,Integrated Urban,900,"1,000","1,210","1,410","1,610","1,800","1,950",3.2,,,,30m,15m,25m,10m,,,,,
312,The Nook,Wasl Gate,2018,"650,000",+75% (Since 2020),Wasl Asset,Wasl Gate,Apartments,Integrated Urban,850,940,"1,120","1,290","1,460","1,620","1,750",13.5,,,,30m,15m,25m,10m,,,,,
313,Park Gate Res,Wasl1,2017,"1,500,000",+70% (Since 2020),Wasl Asset,Wasl1,Apartments,Urban/Park,"1,300","1,430","1,690","1,940","2,190","2,420","2,600",18,,,,10m,35m,5m,20m,,,,,
314,1 Residences,Wasl1,2021,"1,400,000",+55%,Wasl Asset,Wasl1,Apartments,Urban/Park,,,"1,710","1,980","2,240","2,490","2,690",19.5,,,,10m,35m,5m,20m,,,,,
315,One B Tower,Bus Bay,2024,"2,100,000",+12%,Wasl Asset,Business Bay,Apartments,High-Rise Urban,,,,,"2,200","2,430","2,580",22,,,,15m,35m,5m,20m,,,,,
316,Wasl Tower,SZR,2016,"3,500,000",+40% (Since 2020),Wasl Asset,SZR,Mixed,High-Rise Iconic,"2,500","2,660","2,970","3,250","3,540","3,820","4,030",30,,,,15m,35m,5m,20m,,,,,
317,Riviera Heights,Meydan,2024,"1,200,000",+14%,Meydan,Meydan,Apartments,Waterfront/Urban,,,,,"1,450","1,630","1,740",15,"1,400",6.5,,15m,30m,10m,20m,,,,,
318,Wasl 51,Jumeirah,2016,Community,+55% (Since 2020),Wasl Asset,Jumeirah,Townhouses,Boutique/Urban,"1,800","1,950","2,250","2,530","2,830","3,100","3,310",5.5,"2,000",5.0,,20m,35m,10m,20m,,,,,
319,Diamondz,Uptown,2024,"1,100,000",+16%,Danube Properties,Uptown Dubai,Apartments,High-Rise Modern,,,,,"1,750","2,000","2,150",16.5,"1,800",6.5,,25m,25m,20m,10m,,,,,
320,Viewz,JLT,2023,"1,000,000",+42%,Danube Properties,JLT,Apartments,High-Rise Luxury,,,,"1,650","1,960","2,250","2,450",18.5,,,,,,,,,,,,
321,Bayz 101,Bus Bay,2024,"1,200,000",+18%,Danube Properties,Business Bay,Apartments,High-Rise Modern,,,,,"1,900","2,190","2,370",19,,,,15m,35m,5m,20m,,,,,
322,Bayz 102,Bus Bay,2024,"1,350,000",+12%,Danube Properties,Business Bay,Apartments,High-Rise Modern,,,,,"1,350,000","2,050","2,160",19.5,,,,15m,35m,5m,20m,,,,,
323,Oceanz,Maritime,2023,"1,100,000",+38%,Danube Properties,Maritime City,Apartments,Waterfront/Resort,,,,"1,550","1,810","2,070","2,250",17.5,"1,700",6.0,,15m,40m,15m,25m,,,,,
324,Sportz,Sports City,2023,"600,000",+35%,Danube Properties,Sports City,Apartments,Sports/Modern,,,,"1,150","1,330","1,490","1,620",13.5,900,8.0,,25m,20m,20m,15m,,,,,
325,Eleganz,JVC,2023,"1,400,000",+25%,Danube Properties,JVC,Townhouses,Urban/Family,,,,"1,250","1,410","1,560","1,670",4.5,"1,100",7.5,,25m,25m,20m,15m,,,,,
326,Elitz 1,JVC,2022,"650,000",+48%,Danube Properties,JVC,Apartments,High-Rise Urban,,,"1,100","1,300","1,500","1,690","1,840",14.5,"1,100",7.5,,25m,25m,20m,15m,,,,,
327,Elitz 2,JVC,2023,"700,000",+35%,Danube Properties,JVC,Apartments,High-Rise Urban,,,,"1,200","1,390","1,570","1,700",14.5,"1,100",7.5,,25m,25m,20m,15m,,,,,
328,Elitz 3,JVC,2023,"750,000",+32%,Danube Properties,JVC,Apartments,High-Rise Urban,,,,"1,250","1,440","1,620","1,750",14.5,"1,100",7.5,,25m,25m,20m,15m,,,,,
329,Fashionz,JVC,2023,"850,000",+30%,Danube Properties,JVC,Apartments,Branded Urban,,,,"1,300","1,480","1,650","1,770",14.5,"1,100",7.5,,25m,25m,20m,15m,,,,,
330,Gemz,Furjan,2022,"600,000",+52%,Danube Properties,Al Furjan,Apartments,Suburban Urban,,,"1,100","1,300","1,500","1,690","1,830",14,"1,000",7.0,,30m,15m,25m,10m,,,,,
331,Pearlz,Furjan,2022,"550,000",+55%,Danube Properties,Al Furjan,Apartments,Suburban Urban,,,"1,190","1,380","1,570","1,750","1,890",14,"1,000",7.0,,30m,15m,25m,10m,,,,,
332,Opalz,Science Park,2022,"600,000",+48%,Danube Properties,Science Park,Apartments,Urban/Business,,,"1,150","1,340","1,530","1,710","1,840",14.5,"1,100",7.5,,25m,25m,20m,15m,,,,,
333,Petalz,Int. City,2022,"500,000",+45%,Danube Properties,Int. City,Apartments,Community Urban,,,"1,050","1,220","1,380","1,540","1,650",13.5,,,,15m,35m,20m,30m,,,,,
334,Skyz,Arjan,2021,"550,000",+65%,Danube Properties,Arjan,Apartments,Urban/Modern,,,"1,130","1,310","1,490","1,670","1,800",14,"1,100",7.5,,25m,20m,20m,15m,,,,,
335,Olivz,Int. City,2020,"400,000",+75%,Danube Properties,Int. City,Apartments,Community Urban,850,950,"1,130","1,300","1,460","1,610","1,730",13,,,,15m,35m,20m,30m,,,,,
336,Elz,Arjan,2019,"450,000",+85% (Since 2020),Danube Properties,Arjan,Apartments,Urban/Modern,900,"1,010","1,220","1,420","1,620","1,810","1,960",13.5,"1,100",7.5,,25m,20m,20m,15m,,,,,
337,Lawz,Int. City,2018,"350,000",+80% (Since 2020),Danube Properties,Int. City,Apartments,Community Urban,750,840,"1,010","1,170","1,330","1,480","1,600",12.5,,,,15m,35m,20m,30m,,,,,
338,Jewelz,Arjan,2018,"500,000",+78% (Since 2020),Danube Properties,Arjan,Apartments,Urban/Modern,850,950,"1,060","1,220","1,380","1,530","1,650",13.5,"1,100",7.5,,25m,20m,20m,15m,,,,,
339,Wavez,Liwan,2019,"400,000",+75% (Since 2020),Danube Properties,Liwan,Apartments,Suburban Urban,800,890,990,"1,140","1,290","1,430","1,540",12,750,7.5,,20m,25m,15m,25m,,,,,
340,Resortz,Arjan,2017,"550,000",+72% (Since 2020),Danube Properties,Arjan,Apartments,Theme/Modern,900,"1,000","1,110","1,270","1,430","1,580","1,700",14,"1,100",7.5,,25m,20m,20m,15m,,,,,
341,Miraclz,Arjan,2016,"500,000",+70% (Since 2020),Danube Properties,Arjan,Apartments,Urban/Modern,850,940,"1,040","1,190","1,340","1,480","1,580",13.5,"1,100",7.5,,25m,20m,20m,15m,,,,,
342,Binghatti Skyrise,Bus Bay,2024,"2,200,000",+12%,Binghatti,Business Bay,Apartments,High-Rise Urban,,,,,"1,800","1,990","2,110",18,,,,15m,35m,5m,20m,,,,,
343,Binghatti Aquarise,Bus Bay,2025,"2,300,000",+8%,Binghatti,Business Bay,Apartments,High-Rise Urban,,,,,"2,300,000","2,100","2,180",18.5,,,,15m,35m,5m,20m,,,,,
344,Binghatti Ghost,Al Jaddaf,2024,"1,100,000",+15%,Binghatti,Al Jaddaf,Apartments,Urban/Modern,,,,,"1,500","1,690","1,810",14.5,"1,200",7.0,,10m,35m,10m,25m,,,,,
345,One by Binghatti,Bus Bay,2024,"2,500,000",+14%,Binghatti,Business Bay,Apartments,High-Rise Urban,,,,,"1,900","2,120","2,270",19,,,,15m,35m,5m,20m,,,,,
346,Bugatti Residences,Bus Bay,2023,"19,000,000",+45%,Binghatti,Business Bay,Branded Apt,Ultra-Luxury,,,,"4,500","5,510","6,530","7,220",50,,,,15m,35m,5m,20m,,,,,
347,Jacob & Co Burj,Bus Bay,2022,"8,200,000",+55%,Binghatti,Business Bay,Penthouses,Ultra-Luxury,,,"4,000","4,980","5,980","6,970","7,670",55,,,,15m,35m,5m,20m,,,,,
348,Trillionaire,Bus Bay,2023,"1,600,000",+38%,Binghatti,Business Bay,Apartments,Waterfront/Modern,,,,"2,100","2,450","2,790","3,030",21,,,,15m,35m,5m,20m,,,,,
349,Mercedes-Benz,Downtown,2024,"8,800,000",+18%,Binghatti,Downtown,Branded Apt,Ultra-Luxury,,,,,"4,200","4,850","5,260",45,,,,15m,35m,0m,20m,,,,,
350,Binghatti Cullinan,Bus Bay,2024,"2,100,000",+15%,Binghatti,Business Bay,Apartments,High-Rise Modern,,,,,"2,000","2,260","2,430",20,,,,15m,35m,5m,20m,,,,,
351,Binghatti Hills 1,Science Park,2024,"850,000",+22%,Binghatti,Science Park,Apartments,Low-Rise Urban,,,,,"1,100","1,300","1,430",14,"1,100",7.5,,25m,25m,20m,15m,,,,,
352,Binghatti Hills 2,Science Park,2024,"890,000",+18%,Binghatti,Science Park,Apartments,Low-Rise Urban,,,,,"1,150","1,340","1,460",14,"1,100",7.5,,25m,25m,20m,15m,,,,,
353,Binghatti Royale,JVC,2024,"950,000",+15%,Binghatti,JVC,Apartments,Urban/Family,,,,,"1,200","1,370","1,480",14.5,"1,100",7.5,,25m,25m,20m,15m,,,,,
354,Binghatti Aurora,JVC,2024,"900,000",+14%,Binghatti,JVC,Apartments,Urban/Family,,,,,"1,180","1,340","1,440",14.5,"1,100",7.5,,25m,25m,20m,15m,,,,,
355,Binghatti Galaxy 1,JVC,2024,"850,000",+16%,Binghatti,JVC,Apartments,Urban/Modern,,,,,"1,250","1,450","1,570",14.5,"1,100",7.5,,25m,25m,20m,15m,,,,,
356,Binghatti Galaxy 2,JVC,2024,"880,000",+14%,Binghatti,JVC,Apartments,Urban/Modern,,,,,"1,280","1,460","1,570",14.5,"1,100",7.5,,25m,25m,20m,15m,,,,,
357,Binghatti Phantom,JVC,2024,"950,000",+12%,Binghatti,JVC,Apartments,High-Rise Modern,,,,,"1,300","1,450","1,540",14.5,"1,100",7.5,,25m,25m,20m,15m,,,,,
358,Binghatti Phoenix,JVC,2024,"800,000",+15%,Binghatti,JVC,Apartments,Urban/Modern,,,,,"1,200","1,370","1,480",14.5,"1,100",7.5,,25m,25m,20m,15m,,,,,
359,Binghatti Twilight,JVC,2024,"920,000",+10%,Binghatti,JVC,Apartments,Urban/Modern,,,,,"920,000","1,300","1,370",14.5,"1,100",7.5,,25m,25m,20m,15m,,,,,
360,Binghatti Dawn,JVC,2024,"890,000",+11%,Binghatti,JVC,Apartments,Urban/Modern,,,,,"890,000","1,320","1,390",14.5,"1,100",7.5,,25m,25m,20m,15m,,,,,
361,Binghatti House,JVC,2023,"750,000",+32%,Binghatti,JVC,Apartments,Urban/High-Rise,,,,"1,200","1,400","1,600","1,740",14.5,"1,100",7.5,,25m,25m,20m,15m,,,,,
362,Azizi Venice (Master),Dubai South,2023,Community,+40%,Azizi Developments,Dubai South,Mixed,Waterfront/Urban,,,,"1,400","1,660","1,920","2,100",14,850,7.0,,45m,5m,45m,35m,,,,,
363,Monaco Mansions,Venice,2024,"45,000,000",+15%,Azizi Developments,Venice,Luxury Villas,Waterfront/Luxury,,,,,"2,200","2,500","2,690",6.5,,,,,,,,,,,,
364,Burj Azizi,SZR,2024,"15,000,000",+12%,Azizi Developments,SZR,Mixed,High-Rise Iconic,,,,,"3,800","4,210","4,460",45,,,,15m,35m,5m,20m,,,,,
365,Riviera Phase 1,Meydan,2017,"600,000",+95% (Since 2020),Azizi Developments,Meydan,Apartments,Waterfront/Urban,950,"1,070","1,290","1,510","1,730","1,930","2,090",15.5,"1,400",6.5,,15m,30m,10m,20m,,,,,
366,Riviera Phase 2,Meydan,2018,"700,000",+85% (Since 2020),Azizi Developments,Meydan,Apartments,Waterfront/Urban,980,"1,090","1,300","1,510","1,710","1,900","2,050",15.5,"1,400",6.5,,15m,30m,10m,20m,,,,,
367,Riviera Phase 3,Meydan,2019,"800,000",+75% (Since 2020),Azizi Developments,Meydan,Apartments,Waterfront/Urban,"1,000","1,110","1,310","1,500","1,690","1,870","2,000",15.5,"1,400",6.5,,15m,30m,10m,20m,,,,,
368,Riviera Phase 4,Meydan,2021,"900,000",+55%,Azizi Developments,Meydan,Apartments,Waterfront/Urban,,,"1,360","1,570","1,780","1,980","2,130",15.5,"1,400",6.5,,15m,30m,10m,20m,,,,,
369,Riviera Rêve,Meydan,2022,"1,500,000",+42%,Azizi Developments,Meydan,Apartments,Waterfront/Luxury,,,"1,500","1,750","2,000","2,240","2,420",18,"1,400",6.5,,15m,30m,10m,20m,,,,,
370,Riviera Beachfront,Meydan,2021,"1,200,000",+48%,Azizi Developments,Meydan,Apartments,Waterfront/Urban,,,"1,660","1,920","2,180","2,430","2,640",17.5,"1,400",6.5,,15m,30m,10m,20m,,,,,
371,Azizi Vista,Studio City,2023,"600,000",+25%,Azizi Developments,Studio City,Apartments,Low-Rise Urban,,,,"1,200","1,370","1,530","1,650",14,"1,000",7.5,,25m,20m,20m,15m,,,,,
372,Beach Oasis,Studio City,2022,"550,000",+38%,Azizi Developments,Studio City,Apartments,Low-Rise Urban,,,"1,100","1,280","1,470","1,650","1,790",14,"1,000",7.5,,25m,20m,20m,15m,,,,,
373,Mina,Palm,2016,"2,500,000",+90% (Since 2020),Azizi Developments,Palm Jumeirah,Apartments,Island/Luxury,"1,800","2,040","2,500","2,920","3,340","3,720","4,040",24,"2,500",5.5,,25m,35m,20m,10m,,,,,
374,Berton,Furjan,2018,"700,000",+65% (Since 2020),Azizi Developments,Al Furjan,Apartments,Suburban Urban,900,980,"1,130","1,270","1,420","1,550","1,660",13.5,"1,000",7.0,,30m,15m,25m,10m,,,,,
375,Aliyah,Health City,2016,"900,000",+55% (Since 2020),Azizi Developments,Healthcare City,Apartments,Urban/Modern,"1,200","1,300","1,480","1,650","1,830","1,990","2,110",16,,,,10m,35m,10m,25m,,,,,
376,Tiger Sky Tower,Bus Bay,2024,"2,500,000",+18%,Tiger Properties,Business Bay,Apartments,High-Rise Luxury,,,,,"2,000","2,310","2,510",22,,,,15m,35m,5m,20m,,,,,
377,Nobles Tower,Bus Bay,2020,"1,600,000",+62%,Tiger Properties,Business Bay,Apartments,High-Rise Urban,"1,300","1,430","1,690","1,950","2,210","2,460","2,650",18.5,,,,15m,35m,5m,20m,,,,,
378,Red Square,JVT,2023,"600,000",+35%,Tiger Properties,JVT,Apartments,High-Rise Urban,,,,"1,200","1,400","1,600","1,740",14,"1,000",7.0,,25m,20m,20m,15m,,,,,
